year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,7,MQ,Envoy Air,HOU,"Houston, TX: William P Hobby",154.00,28.00,4.06,1.50,11.00,0.00,11.44,6.00,0.00,1294.00,126.00,219.00,465.00,0.00,484.00
2025,7,OO,SkyWest Airlines Inc.,HOU,"Houston, TX: William P Hobby",56.00,17.00,6.96,1.51,5.70,0.00,2.83,4.00,1.00,1263.00,410.00,325.00,472.00,0.00,56.00
2025,7,WN,Southwest Airlines,HOU,"Houston, TX: William P Hobby",4695.00,1328.00,356.21,31.85,275.33,3.00,661.61,30.00,29.00,82929.00,19577.00,2692.00,14207.00,68.00,46385.00
2025,7,DL,Delta Air Lines Network,HOU,"Houston, TX: William P Hobby",139.00,38.00,17.15,1.58,8.39,0.00,10.88,1.00,0.00,2329.00,996.00,79.00,489.00,0.00,765.00
2025,7,G4,Allegiant Air,HOU,"Houston, TX: William P Hobby",48.00,11.00,3.80,0.00,4.10,0.00,3.10,0.00,0.00,1219.00,888.00,0.00,230.00,0.00,101.00
2025,6,DL,Delta Air Lines Network,HOU,"Houston, TX: William P Hobby",136.00,39.00,18.75,1.43,8.50,0.00,10.32,4.00,1.00,2318.00,1119.00,112.00,340.00,0.00,747.00
2025,6,G4,Allegiant Air,HOU,"Houston, TX: William P Hobby",47.00,6.00,0.76,0.00,3.65,0.00,1.59,0.00,1.00,214.00,24.00,0.00,147.00,0.00,43.00
2025,6,MQ,Envoy Air,HOU,"Houston, TX: William P Hobby",134.00,33.00,4.85,1.86,14.50,0.91,10.87,8.00,2.00,1535.00,233.00,88.00,642.00,32.00,540.00
2025,6,OH,PSA Airlines Inc.,HOU,"Houston, TX: William P Hobby",8.00,3.00,0.16,0.77,1.99,0.00,0.08,0.00,0.00,165.00,12.00,56.00,91.00,0.00,6.00
2025,6,OO,SkyWest Airlines Inc.,HOU,"Houston, TX: William P Hobby",56.00,24.00,13.14,2.09,4.24,0.00,4.52,4.00,0.00,1372.00,679.00,93.00,242.00,0.00,358.00
2025,6,WN,Southwest Airlines,HOU,"Houston, TX: William P Hobby",4551.00,1314.00,311.10,27.28,325.54,4.25,645.83,55.00,29.00,74848.00,16143.00,2402.00,16076.00,115.00,40112.00
2025,5,DL,Delta Air Lines Network,HOU,"Houston, TX: William P Hobby",141.00,40.00,15.36,0.00,9.63,0.00,15.01,0.00,0.00,1858.00,716.00,0.00,395.00,0.00,747.00
2025,5,G4,Allegiant Air,HOU,"Houston, TX: William P Hobby",27.00,3.00,0.00,1.00,1.24,0.00,0.76,0.00,0.00,88.00,0.00,24.00,30.00,0.00,34.00
2025,5,MQ,Envoy Air,HOU,"Houston, TX: William P Hobby",42.00,18.00,2.02,0.85,6.93,0.00,8.20,3.00,0.00,1088.00,118.00,71.00,327.00,0.00,572.00
2025,5,OH,PSA Airlines Inc.,HOU,"Houston, TX: William P Hobby",54.00,17.00,2.91,1.97,3.47,0.00,8.65,10.00,0.00,1904.00,200.00,253.00,716.00,0.00,735.00
2025,5,OO,SkyWest Airlines Inc.,HOU,"Houston, TX: William P Hobby",62.00,9.00,3.90,2.49,1.03,0.00,1.57,4.00,0.00,647.00,219.00,174.00,118.00,0.00,136.00
2025,5,WN,Southwest Airlines,HOU,"Houston, TX: William P Hobby",4416.00,927.00,247.39,21.55,209.21,1.24,447.61,26.00,12.00,56026.00,14439.00,1941.00,8999.00,25.00,30622.00
2025,4,MQ,Envoy Air,HOU,"Houston, TX: William P Hobby",138.00,44.00,12.00,1.50,17.61,0.00,12.89,5.00,0.00,2164.00,618.00,115.00,745.00,0.00,686.00
2025,4,OO,SkyWest Airlines Inc.,HOU,"Houston, TX: William P Hobby",60.00,16.00,8.97,1.88,4.39,0.00,0.75,3.00,1.00,1036.00,393.00,266.00,332.00,0.00,45.00
