year,month,carrier,carrier_name,airport,airport_name,arr_flights,arr_del15,carrier_ct,weather_ct,nas_ct,security_ct,late_aircraft_ct,arr_cancelled,arr_diverted,arr_delay,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay
2025,7,YV,Mesa Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",2601.00,533.00,153.23,16.20,197.45,0.00,166.13,45.00,13.00,55178.00,12407.00,3965.00,18234.00,0.00,20572.00
2025,7,YX,Republic Airline,IAH,"Houston, TX: George Bush Intercontinental/Houston",19.00,4.00,0.00,0.00,2.29,0.00,1.71,0.00,0.00,176.00,0.00,0.00,92.00,0.00,84.00
2025,7,MQ,Envoy Air,IAH,"Houston, TX: George Bush Intercontinental/Houston",159.00,25.00,6.25,0.78,9.89,0.00,8.08,7.00,3.00,1297.00,199.00,21.00,652.00,0.00,425.00
2025,7,NK,Spirit Airlines,IAH,"Houston, TX: George Bush Intercontinental/Houston",669.00,175.00,48.69,10.27,75.58,0.00,40.46,19.00,2.00,15980.00,4470.00,706.00,6399.00,0.00,4405.00
2025,7,OO,SkyWest Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",1551.00,380.00,195.94,24.17,62.85,0.22,96.82,30.00,13.00,42514.00,21555.00,3152.00,6143.00,4.00,11660.00
2025,7,UA,United Air Lines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",6013.00,1477.00,406.39,70.76,554.99,0.55,444.32,105.00,45.00,134306.00,37288.00,10057.00,35008.00,21.00,51932.00
2025,7,AA,American Airlines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",681.00,277.00,88.94,12.37,57.44,0.92,117.33,20.00,1.00,25176.00,7510.00,1605.00,3709.00,22.00,12330.00
2025,7,AS,Alaska Airlines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",123.00,47.00,12.12,0.00,18.34,0.00,16.54,2.00,0.00,2212.00,737.00,0.00,676.00,0.00,799.00
2025,7,B6,JetBlue Airways,IAH,"Houston, TX: George Bush Intercontinental/Houston",62.00,15.00,7.04,0.00,5.40,0.00,2.56,2.00,0.00,1049.00,577.00,0.00,182.00,0.00,290.00
2025,7,C5,CommuteAir LLC dba CommuteAir,IAH,"Houston, TX: George Bush Intercontinental/Houston",2033.00,379.00,86.22,17.57,115.37,0.00,159.84,40.00,17.00,43576.00,6705.00,1676.00,13617.00,0.00,21578.00
2025,7,DL,Delta Air Lines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",717.00,215.00,103.89,11.98,65.06,0.63,33.45,8.00,8.00,14656.00,7427.00,966.00,3523.00,20.00,2720.00
2025,7,F9,Frontier Airlines,IAH,"Houston, TX: George Bush Intercontinental/Houston",320.00,122.00,36.66,3.37,28.93,0.00,53.04,4.00,0.00,9385.00,2287.00,224.00,1639.00,0.00,5235.00
2025,6,AA,American Airlines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",658.00,264.00,82.43,14.72,78.82,0.00,88.03,17.00,5.00,22789.00,6084.00,2518.00,5907.00,0.00,8280.00
2025,6,AS,Alaska Airlines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",120.00,58.00,15.11,0.00,23.54,0.00,19.34,1.00,2.00,2690.00,815.00,0.00,1099.00,0.00,776.00
2025,6,B6,JetBlue Airways,IAH,"Houston, TX: George Bush Intercontinental/Houston",61.00,13.00,2.75,0.00,7.41,0.00,2.84,0.00,1.00,848.00,106.00,0.00,570.00,0.00,172.00
2025,6,C5,CommuteAir LLC dba CommuteAir,IAH,"Houston, TX: George Bush Intercontinental/Houston",1971.00,603.00,118.58,43.12,196.60,0.00,244.70,89.00,13.00,83056.00,17371.00,10479.00,19195.00,0.00,36011.00
2025,6,DL,Delta Air Lines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",689.00,204.00,68.59,7.75,86.70,0.00,40.96,14.00,9.00,17137.00,6738.00,927.00,6031.00,0.00,3441.00
2025,6,F9,Frontier Airlines,IAH,"Houston, TX: George Bush Intercontinental/Houston",323.00,141.00,33.15,1.22,39.77,0.00,66.85,9.00,2.00,12645.00,2815.00,81.00,3151.00,0.00,6598.00
2025,6,MQ,Envoy Air,IAH,"Houston, TX: George Bush Intercontinental/Houston",167.00,38.00,7.24,1.35,19.82,0.00,9.60,8.00,6.00,2092.00,251.00,114.00,1178.00,0.00,549.00
2025,6,NK,Spirit Airlines,IAH,"Houston, TX: George Bush Intercontinental/Houston",646.00,197.00,46.42,4.20,86.30,0.26,59.82,17.00,6.00,17291.00,5148.00,398.00,7080.00,28.00,4637.00
2025,6,OH,PSA Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",2.00,1.00,0.00,0.07,0.29,0.00,0.63,0.00,0.00,112.00,0.00,8.00,33.00,0.00,71.00
2025,6,OO,SkyWest Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",1362.00,450.00,204.81,36.09,111.27,1.00,96.84,55.00,16.00,50844.00,18524.00,5930.00,12987.00,17.00,13386.00
2025,6,UA,United Air Lines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",5965.00,1634.00,342.37,76.12,781.17,1.00,433.34,105.00,52.00,144750.00,29129.00,9681.00,60646.00,40.00,45254.00
2025,6,YV,Mesa Airlines Inc.,IAH,"Houston, TX: George Bush Intercontinental/Houston",2591.00,740.00,174.71,36.29,293.34,0.00,235.67,112.00,31.00,85253.00,18537.00,9522.00,26621.00,0.00,30573.00
2025,6,YX,Republic Airline,IAH,"Houston, TX: George Bush Intercontinental/Houston",9.00,5.00,2.38,0.00,1.87,0.00,0.75,0.00,0.00,652.00,484.00,0.00,70.00,0.00,98.00
2025,5,AA,American Airlines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",724.00,263.00,68.61,8.01,91.38,0.07,94.92,16.00,3.00,18317.00,4673.00,848.00,5036.00,16.00,7744.00
2025,5,AS,Alaska Airlines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",96.00,29.00,6.18,0.00,8.49,0.00,14.34,1.00,1.00,1232.00,232.00,0.00,404.00,0.00,596.00
2025,5,B6,JetBlue Airways,IAH,"Houston, TX: George Bush Intercontinental/Houston",84.00,13.00,4.59,0.87,6.92,0.00,0.62,0.00,1.00,906.00,218.00,271.00,378.00,0.00,39.00
2025,5,C5,CommuteAir LLC dba CommuteAir,IAH,"Houston, TX: George Bush Intercontinental/Houston",1899.00,307.00,76.66,21.72,109.51,0.00,99.10,50.00,5.00,37575.00,10999.00,3929.00,10072.00,0.00,12575.00
2025,5,DL,Delta Air Lines Network,IAH,"Houston, TX: George Bush Intercontinental/Houston",687.00,205.00,84.37,2.20,74.36,0.00,44.07,4.00,6.00,16336.00,9148.00,112.00,3707.00,0.00,3369.00
2025,5,F9,Frontier Airlines,IAH,"Houston, TX: George Bush Intercontinental/Houston",315.00,95.00,24.02,1.15,34.00,0.00,35.83,2.00,1.00,7123.00,1377.00,131.00,2666.00,0.00,2949.00
2025,5,MQ,Envoy Air,IAH,"Houston, TX: George Bush Intercontinental/Houston",97.00,19.00,3.51,2.14,6.99,0.00,6.36,3.00,0.00,1291.00,189.00,218.00,373.00,0.00,511.00
